platform,nama_pengguna,tanggal_komentar,komentar,rating,teks_cleaning,teks_casefolding,teks_normalisasi,teks_stemming,sentimen,skor_keyakinan,sentimen_rating,sentimen_prediksi,keyakinan_prediksi
Google Play Store,Desi Safitri,10/21/2025,"penanganan komplen selalu lama, semingguan, belum masalah AC yg selalu ada problem berkali-kali,cuma ngandelin tukang freelance, ga ada budget perawatan bangunan fasilitas yg disediakan, maunya untung doang tp perawatannya ga ada",1.0,penanganan komplen selalu lama semingguan belum masalah AC yg selalu ada problem berkali kali cuma ngandelin tukang freelance ga ada budget perawatan bangunan fasilitas yg disediakan maunya untung doang tp perawatannya ga ada,penanganan komplen selalu lama semingguan belum masalah ac yg selalu ada problem berkali kali cuma ngandelin tukang freelance ga ada budget perawatan bangunan fasilitas yg disediakan maunya untung doang tp perawatannya ga ada,penanganan komplen selalu lama semingguan belum masalah pendingin ruangan yang selalu ada problem berkali kali cuma ngandelin tukang freelance tidak ada budget perawatan bangunan fasilitas yang disediakan maunya untung doang tetapi perawatannya tidak ada,tangan komplen selalu lama minggu belum masalah dingin ruang selalu problem kali kali cuma ngandelin tukang freelance tidak budget awat bangun fasilitas sedia mau untung doang awat tidak,negatif,0.9996,negatif,negatif,0.999
Google Play Store,Roki Poges,9/25/2025,sangat mengecewakan,1.0,sangat mengecewakan,sangat mengecewakan,sangat mengecewakan,sangat kecewa,negatif,0.9999,negatif,negatif,0.9987
Google Play Store,Raju Sugama,9/9/2025,tidak lengkap,1.0,tidak lengkap,tidak lengkap,tidak lengkap,tidak lengkap,negatif,0.9999,negatif,negatif,0.999
Google Play Store,Iball Akbar,8/8/2025,mempermudah mencari kosan di jakarta,5.0,mempermudah mencari kosan di jakarta,mempermudah mencari kosan di jakarta,mempermudah mencari kos di jakarta,mudah cari jakarta,positif,0.9988,positif,positif,0.9775
Google Play Store,Azzenitha Zara,8/8/2025,apartemen nyaman dan sangat tenang disini. staff ramah selalu menyapa dan sangat membantu. kebersihan sangat dijaga disini,5.0,apartemen nyaman dan sangat tenang disini staff ramah selalu menyapa dan sangat membantu kebersihan sangat dijaga disini,apartemen nyaman dan sangat tenang disini staff ramah selalu menyapa dan sangat membantu kebersihan sangat dijaga disini,apartemen nyaman dan sangat tenang disini staff ramah selalu menyapa dan sangat membantu kebersihan sangat dijaga disini,apartemen nyaman sangat tenang sini staff ramah selalu sapa sangat bantu bersih sangat jaga sini,positif,0.9993,positif,positif,0.9992
Google Play Store,Sukma Rama,8/8/2025,"tempat tinggal nyaman, aman dan menyenangkan",5.0,tempat tinggal nyaman aman dan menyenangkan,tempat tinggal nyaman aman dan menyenangkan,tempat tinggal nyaman aman dan menyenangkan,tempat tinggal nyaman aman senang,positif,0.9997,positif,positif,0.9991
Google Play Store,Andy 45,7/11/2025,gk bisa filter harga,1.0,gk bisa filter harga,gk bisa filter harga,tidak bisa filter harga,tidak filter harga,negatif,0.9997,negatif,negatif,0.9988
Google Play Store,Vivi Anggraini,6/6/2025,Cove Giri Gambir Nyaman,5.0,Cove Giri Gambir Nyaman,cove giri gambir nyaman,cove giri gambir nyaman,giri gambir nyaman,positif,0.9997,positif,positif,0.999
Google Play Store,nella reda,6/6/2025,sangat puas dengan layanan cove,5.0,sangat puas dengan layanan cove,sangat puas dengan layanan cove,sangat puas dengan layanan cove,sangat puas layan,positif,0.9997,positif,positif,0.999
Google Play Store,olga sarah,6/6/2025,sangat bagus! so in love with Cove💜,5.0,sangat bagus so in love with Cove,sangat bagus so in love with cove,sangat bagus sok ini love with cove,sangat bagus sok love with,positif,0.9994,positif,positif,0.9991
Google Play Store,fadly mirah,6/6/2025,keren dan bagus kamar kamarnya,5.0,keren dan bagus kamar kamarnya,keren dan bagus kamar kamarnya,bagus dan bagus kamar kamar,bagus bagus kamar kamar,positif,0.9997,positif,positif,0.9991
Google Play Store,Ismail Shahab,5/31/2025,kalo mau kontak kemana??,5.0,kalo mau kontak kemana,kalo mau kontak kemana,kalau ingin kontak kemana,kalau kontak,netral,0.9996,positif,netral,0.9989
Google Play Store,Nur Annisa,5/19/2025,comfortable place to stay ♡,5.0,comfortable place to stay,comfortable place to stay,comfortable place tetapi stay,comfortable place stay,negatif,0.8514,positif,negatif,0.9958
Google Play Store,dony cf,5/19/2025,kost kece sesuai harga dan fasilitas,5.0,kost kece sesuai harga dan fasilitas,kost kece sesuai harga dan fasilitas,kos kece sesuai harga dan fasilitas,kece sesuai harga fasilitas,netral,0.984,positif,netral,0.9195
Google Play Store,Irene Ferita,4/17/2025,aplikasi yang baik untuk memilih kos,5.0,aplikasi yang baik untuk memilih kos,aplikasi yang baik untuk memilih kos,aplikasi yang baik untuk memilih kos,aplikasi baik pilih,positif,0.9979,positif,positif,0.9967
Google Play Store,Muhammad Maqbul,4/17/2025,"Unit tempat tinggal cozy, harga terjangkau, proses check in juga cepat, posisi unit sangat srategis",5.0,Unit tempat tinggal cozy harga terjangkau proses check in juga cepat posisi unit sangat srategis,unit tempat tinggal cozy harga terjangkau proses check in juga cepat posisi unit sangat srategis,unit tempat tinggal cozy harga terjangkau proses check ini juga cepat posisi unit sangat srategis,unit tempat tinggal cozy harga jangkau proses check cepat posisi unit sangat srategis,positif,0.9997,positif,positif,0.9991
Google Play Store,Angelica Saturdays Sadi,4/17/2025,"proses check in lengkap, kamar bersih dan fasilitas terawat. ada cs yang dapat dihubungi",5.0,proses check in lengkap kamar bersih dan fasilitas terawat ada cs yang dapat dihubungi,proses check in lengkap kamar bersih dan fasilitas terawat ada cs yang dapat dihubungi,proses check ini lengkap kamar bersih dan fasilitas terawat ada layanan pelanggan yang dapat dihubungi,proses check lengkap kamar bersih fasilitas awat layan langgan hubung,positif,0.9734,positif,positif,0.9988
Google Play Store,T.I.G.A Music,4/17/2025,tempat nyaman dan bersih,5.0,tempat nyaman dan bersih,tempat nyaman dan bersih,tempat nyaman dan bersih,tempat nyaman bersih,positif,0.9995,positif,positif,0.9991
Google Play Store,Pingkan Langelo,4/17/2025,"Pelayanan terbaik, property nya bersih. nyaman dan aman. aplikasi ini sangat memudahkan kita untuk mencari kost di Jakarta dan Bali",5.0,Pelayanan terbaik property nya bersih nyaman dan aman aplikasi ini sangat memudahkan kita untuk mencari kost di Jakarta dan Bali,pelayanan terbaik property nya bersih nyaman dan aman aplikasi ini sangat memudahkan kita untuk mencari kost di jakarta dan bali,pelayanan terbaik property nya bersih nyaman dan aman aplikasi ini sangat memudahkan kita untuk mencari kos di jakarta dan bali,layan baik property bersih nyaman aman aplikasi sangat mudah cari jakarta bal,positif,0.9995,positif,positif,0.9991
Google Play Store,sri febriani,4/17/2025,"cove sangat mempermudah saya mendapatkan hunian terbaik. baru tinggal di cove 2 minggu tapi sangat nyaman, lokasi strategis dan buat betah. tidak seribet kos lainnya, aturan fleksibel dan tidak ad ibu kos nyebelin dan temen kos yg kepo. sangat cocok untuk kaum introvert yg ansos ✌ pas libur kerja saya bisa di kossan 24jam hanya nonton drakor sambil rebahan 😂 wifi stabil dan air minum tersedia recomended♥",5.0,cove sangat mempermudah saya mendapatkan hunian terbaik baru tinggal di cove minggu tapi sangat nyaman lokasi strategis dan buat betah tidak seribet kos lainnya aturan fleksibel dan tidak ad ibu kos nyebelin dan temen kos yg kepo sangat cocok untuk kaum introvert yg ansos pas libur kerja saya bisa di kossan jam hanya nonton drakor sambil rebahan wifi stabil dan air minum tersedia recomended,cove sangat mempermudah saya mendapatkan hunian terbaik baru tinggal di cove minggu tapi sangat nyaman lokasi strategis dan buat betah tidak seribet kos lainnya aturan fleksibel dan tidak ad ibu kos nyebelin dan temen kos yg kepo sangat cocok untuk kaum introvert yg ansos pas libur kerja saya bisa di kossan jam hanya nonton drakor sambil rebahan wifi stabil dan air minum tersedia recomended,cove sangat mempermudah saya mendapatkan hunian terbaik baru tinggal di cove minggu tetapi sangat nyaman lokasi strategis dan untuk betah tidak seribet kos lainnya aturan fleksibel dan tidak ada ibu kos menyebalkan dan teman kos yang kepo sangat cocok untuk kaum introvert yang ansos pas libur kerja saya bisa di kos jam hanya menonton drakor sambil rebahan internet stabil dan air minum tersedia direkomendasikan,sangat mudah dapat huni baik baru tinggal minggu sangat nyaman lokasi strategis betah tidak seribet lain atur fleksibel tidak ibu sebal teman kepo sangat cocok kaum introvert ansos pas libur kerja jam tonton drakor rebah internet stabil air minum sedia rekomendasi,positif,0.9995,positif,positif,0.9991
Google Play Store,Baiq Zaskya,4/17/2025,sangat nyaman,5.0,sangat nyaman,sangat nyaman,sangat nyaman,sangat nyaman,positif,0.9997,positif,positif,0.9991
Google Play Store,afifa ara,4/17/2025,"kost exclusive, nyaman dan lokasi strategic",5.0,kost exclusive nyaman dan lokasi strategic,kost exclusive nyaman dan lokasi strategic,kos exclusive nyaman dan lokasi strategic,exclusive nyaman lokasi strategic,positif,0.9996,positif,positif,0.9976
Google Play Store,PlusSixtyTwo,4/17/2025,"good, nyaman sekali",5.0,good nyaman sekali,good nyaman sekali,good nyaman sekali,good nyaman sekali,positif,0.9994,positif,positif,0.9991
Google Play Store,Wayan Juliasa,4/9/2025,kekurangannya setelah booking itu gak tertera bahwa kita sudah booking d aplikasi ..,4.0,kekurangannya setelah booking itu gak tertera bahwa kita sudah booking d aplikasi,kekurangannya setelah booking itu gak tertera bahwa kita sudah booking d aplikasi,kekurangannya setelah pemesanan itu tidak tertera bahwa kita sudah pemesanan di aplikasi,kurang mesan tidak tera mesan aplikasi,netral,0.7161,positif,netral,0.998
Google Play Store,eka pradana,3/1/2025,"Ekspektasi lihat kosannya udah tinggi, eh tapi pas mau booking ribetnya setengah mati mana diarahin ke sales admin dan sangat slow respon. Petunjuk yang dikasih sama sales adminnya juga ga clear harus ditanya dulu baru kasih info. Padahal kita udah mau bayar tapi tiba-tiba di-cancel. Pas lihat review aplikasinya ternyata minus, oh pantesan aja orang sistemnya ga bener.",1.0,Ekspektasi lihat kosannya udah tinggi eh tapi pas mau booking ribetnya setengah mati mana diarahin ke sales admin dan sangat slow respon Petunjuk yang dikasih sama sales adminnya juga ga clear harus ditanya dulu baru kasih info Padahal kita udah mau bayar tapi tiba tiba di cancel Pas lihat review aplikasinya ternyata minus oh pantesan aja orang sistemnya ga bener,ekspektasi lihat kosannya udah tinggi eh tapi pas mau booking ribetnya setengah mati mana diarahin ke sales admin dan sangat slow respon petunjuk yang dikasih sama sales adminnya juga ga clear harus ditanya dulu baru kasih info padahal kita udah mau bayar tapi tiba tiba di cancel pas lihat review aplikasinya ternyata minus oh pantesan aja orang sistemnya ga bener,ekspektasi lihat kosannya sudah tinggi eh tetapi pas ingin pemesanan ribetnya setengah mati mana diarahin ke sales pengelola dan sangat lambat tanggapan petunjuk yang dikasih sama sales adminnya juga tidak clear harus ditanya dulu baru kasih informasi padahal kita sudah ingin bayar tetapi tiba tiba di batal pas lihat ulasan aplikasi ternyata minus oh pantesan saja orang sistemnya tidak benar,ekspektasi lihat kosannya tinggi pas mesan ribetnya tengah mati mana diarahin sales kelola sangat lambat tanggap tunjuk kasih sama sales adminnya tidak clear tanya dulu baru kasih informasi padahal bayar tiba tiba batal pas lihat ulas aplikasi nyata minus pantesan orang sistem tidak benar,negatif,0.9999,negatif,negatif,0.9989
Google Play Store,Ridwan Effendi,2/28/2025,Cukup memuaskan teratur pelayanannya dan tingkakan sistem securitynya perlu diperhatikan,3.0,Cukup memuaskan teratur pelayanannya dan tingkakan sistem securitynya perlu diperhatikan,cukup memuaskan teratur pelayanannya dan tingkakan sistem securitynya perlu diperhatikan,cukup memuaskan teratur pelayanannya dan tingkakan sistem securitynya perlu diperhatikan,cukup muas atur layan tingkakan sistem securitynya perlu perhati,negatif,0.6288,netral,positif,0.7425
Google Play Store,FERNANDO DJUUNA,2/27/2025,"Sudah payment karena tersedia,, tiba di kost katanya masih unavailable,, namun sudah 7 hari belum ada refund,, katanya sudah di approve tim keuangan tapi sampai 7 hari belum ada refund",1.0,Sudah payment karena tersedia tiba di kost katanya masih unavailable namun sudah hari belum ada refund katanya sudah di approve tim keuangan tapi sampai hari belum ada refund,sudah payment karena tersedia tiba di kost katanya masih unavailable namun sudah hari belum ada refund katanya sudah di approve tim keuangan tapi sampai hari belum ada refund,sudah payment karena tersedia tiba di kos katanya masih unavailable namun sudah hari belum ada pengembalian dana katanya sudah di approve tim keuangan tetapi sampai hari belum ada pengembalian dana,payment sedia tiba kata unavailable hari belum kembali dana kata approve tim uang hari belum kembali dana,netral,0.991,negatif,netral,0.9953
Google Play Store,sisca puspita dewi,2/6/2025,"sangat buruk. pesen hotel di aplikasi. sudah bayar, pas check in di hotel, kamar penuh. terus infonya mau di refund tapi sudah seminggu lebih refund belum masuk juga dan ga ada kabar. parah ga recomend banget, penipu.",1.0,sangat buruk pesen hotel di aplikasi sudah bayar pas check in di hotel kamar penuh terus infonya mau di refund tapi sudah seminggu lebih refund belum masuk juga dan ga ada kabar parah ga recomend banget penipu,sangat buruk pesen hotel di aplikasi sudah bayar pas check in di hotel kamar penuh terus infonya mau di refund tapi sudah seminggu lebih refund belum masuk juga dan ga ada kabar parah ga recomend banget penipu,sangat buruk pesan hotel di aplikasi sudah bayar pas check ini di hotel kamar penuh terus informasi ingin di pengembalian dana tetapi sudah seminggu lebih pengembalian dana belum masuk juga dan tidak ada kabar buruk tidak recomend sangat penipu,sangat buruk pesan hotel aplikasi bayar pas check hotel kamar penuh terus informasi kembali dana minggu lebih kembali dana belum masuk tidak kabar buruk tidak recomend sangat tipu,negatif,0.9998,negatif,negatif,0.9991
Google Play Store,Aisyah Salsabilah,1/27/2025,"Ga rekomendasi bulanan, aturan co 14 hari sebelumnya sebaiknya di kasih keringanan. Masa perusahaan gabisa kasih keringanan kalo penghuni mau keluar seminggu sebelumnya juga harus bayar. 14 hari Nyari duit banget bro???",1.0,Ga rekomendasi bulanan aturan co hari sebelumnya sebaiknya di kasih keringanan Masa perusahaan gabisa kasih keringanan kalo penghuni mau keluar seminggu sebelumnya juga harus bayar hari Nyari duit banget bro,ga rekomendasi bulanan aturan co hari sebelumnya sebaiknya di kasih keringanan masa perusahaan gabisa kasih keringanan kalo penghuni mau keluar seminggu sebelumnya juga harus bayar hari nyari duit banget bro,tidak rekomendasi bulanan aturan cowok hari sebelumnya sebaiknya di kasih keringanan masa perusahaan tidak bisa kasih keringanan kalau penghuni ingin keluar seminggu sebelumnya juga harus bayar hari mencari duit sangat kakak,tidak rekomendasi bulan atur cowok hari belum baik kasih ringan masa usaha tidak kasih ringan kalau huni keluar minggu belum bayar hari cari duit sangat,negatif,0.9997,negatif,negatif,0.9989
Google Play Store,Ayu Mutmainnah,12/9/2024,Kosannya pantes buat dpt bintang 5,5.0,Kosannya pantes buat dpt bintang,kosannya pantes buat dpt bintang,kosannya pantas untuk dapat bintang,kosannya pantas bintang,negatif,0.9909,positif,positif,0.9969
Google Play Store,Sisca Hapsari,12/9/2024,Sangat berguna,5.0,Sangat berguna,sangat berguna,sangat berguna,sangat guna,positif,0.9997,positif,positif,0.9991
Google Play Store,Sumit Mito (Sumito. Sumit.),12/4/2024,Cukup baik untuk direspons aplikasi ini,5.0,Cukup baik untuk direspons aplikasi ini,cukup baik untuk direspons aplikasi ini,cukup baik untuk direspons aplikasi ini,cukup baik respons aplikasi,netral,0.9989,positif,netral,0.9957
Google Play Store,Anya Alifia,11/21/2024,masa lokasinya gaada yg di jawa timur,1.0,masa lokasinya gaada yg di jawa timur,masa lokasinya gaada yg di jawa timur,masa lokasi tidak ada yang di jawa timur,masa lokasi tidak jawa timur,netral,0.9949,negatif,netral,0.9947
Google Play Store,Muhammad Anandi Noerrachman,11/8/2024,insya allah sesuai ekspektasi 👍,5.0,insya allah sesuai ekspektasi,insya allah sesuai ekspektasi,insya allah sesuai ekspektasi,insya allah sesuai ekspektasi,positif,0.9994,positif,positif,0.9987
Google Play Store,Nafta Lia,11/8/2024,Terdekat dari kantor & layak utk coorporate dg kantor manapun. Best!,5.0,Terdekat dari kantor layak utk coorporate dg kantor manapun Best,terdekat dari kantor layak utk coorporate dg kantor manapun best,terdekat dari kantor layak untuk coorporate dengan kantor manapun best,dekat kantor layak coorporate kantor mana best,positif,0.9954,positif,positif,0.9929
Google Play Store,Diah Ayu Kusuma Resmana,10/8/2024,"Ngekos tapi rasanya seperti tinggal di apartemen namun dengan harga bersahabat, jadi worth it udah mendapatkan semua fasilitas lengkapnya",5.0,Ngekos tapi rasanya seperti tinggal di apartemen namun dengan harga bersahabat jadi worth it udah mendapatkan semua fasilitas lengkapnya,ngekos tapi rasanya seperti tinggal di apartemen namun dengan harga bersahabat jadi worth it udah mendapatkan semua fasilitas lengkapnya,kos tetapi rasanya seperti tinggal di apartemen namun dengan harga bersahabat jadi layak itu sudah mendapatkan semua fasilitas lengkapnya,rasa tinggal apartemen harga sahabat jadi layak dapat semua fasilitas lengkap,positif,0.9714,positif,positif,0.9991
Google Play Store,mikhaila egha,10/8/2024,"Sangat membantu sekali, proses mudah & lokasi sangat strategis",5.0,Sangat membantu sekali proses mudah lokasi sangat strategis,sangat membantu sekali proses mudah lokasi sangat strategis,sangat membantu sekali proses mudah lokasi sangat strategis,sangat bantu sekali proses mudah lokasi sangat strategis,positif,0.9993,positif,positif,0.9991
Google Play Store,suci fitriani,10/3/2024,"kos tan nya nyaman banget sih terus fasilitas nya lengkap dan modern, lokasinya juga strategis banget, bisa nginep harian atau bulanan juga jadi cocok sih kalau kalian lagi nyari tempat kost an buat tinggal tetap disitu ataupun buat liburan sementara juga bisa",5.0,kos tan nya nyaman banget sih terus fasilitas nya lengkap dan modern lokasinya juga strategis banget bisa nginep harian atau bulanan juga jadi cocok sih kalau kalian lagi nyari tempat kost an buat tinggal tetap disitu ataupun buat liburan sementara juga bisa,kos tan nya nyaman banget sih terus fasilitas nya lengkap dan modern lokasinya juga strategis banget bisa nginep harian atau bulanan juga jadi cocok sih kalau kalian lagi nyari tempat kost an buat tinggal tetap disitu ataupun buat liburan sementara juga bisa,kos tan nya nyaman sangat terus fasilitas nya lengkap dan modern lokasi juga strategis sangat bisa nginep harian atau bulanan juga jadi cocok kalau kalian lagi mencari tempat kos an untuk tinggal tetap disitu ataupun untuk liburan sementara juga bisa,tan nyaman sangat terus fasilitas lengkap modern lokasi strategis sangat nginep hari bulan jadi cocok kalau kalian cari tempat tinggal tetap situ atau libur,positif,0.9997,positif,positif,0.9991
